Line Number,Listing Name,Listing Price,Listing Picture URL,Product Details,Name of the Seller,Trusted Supplier,Product Ratings - Star
1,Akiko PLUS SIZE Cotton Slub Bandhej Print Anarkali Kurta,₹704,https://images.meesho.com/images/products/42902925/2bfo2_512.webp,"{'Name': 'Akiko PLUS SIZE Cotton Slub Bandhej Print Anarkali Kurta', 'Fabric': 'Cotton', 'Sleeve Length': 'Three-Quarter Sleeves', 'Pattern': 'Solid', 'Combo of': 'Single', 'XS, S, M, L, XL, XXL (Bust Size': '44 in, Size Length: 49 in)', 'XXXL (Bust Size': '46 in, Size Length: 49 in)', 'Country of Origin': 'India'}",YOGESH KUNDNANI,1,4.0
2,Charvi Drishya Kurtis,₹381,https://images.meesho.com/images/products/49452554/2vifx_512.webp,"{'Name': 'Charvi Drishya Kurtis', 'Fabric': 'Rayon', 'Sleeve Length': 'Sleeveless', 'Pattern': 'Applique', 'Combo of': 'Single', 'Country of Origin': 'India'}",VINODENTERPRISES,1,4.0
